video,jepa_error,sbit_oracle_error,win,difficulty_tertile
0,0.8350255489349365,0.8838648200035095,0.0,hard
1,0.708577036857605,0.7610220313072205,0.0,medium
2,0.6213932633399963,0.7997965216636658,0.0,easy
3,0.7781795263290405,0.7683793902397156,1.0,medium
4,0.8212336301803589,0.911732017993927,0.0,medium
5,0.6768088936805725,1.0063166618347168,0.0,easy
6,0.5451616048812866,0.5940718650817871,0.0,easy
7,1.4645308256149292,1.0854740142822266,1.0,hard
8,0.7395198345184326,0.9071747660636902,0.0,medium
9,0.9044365286827087,0.7572432160377502,1.0,hard
10,0.7618498802185059,0.9337720274925232,0.0,medium
11,0.6401386260986328,0.8777790069580078,0.0,easy
12,0.6991956233978271,0.9403793215751648,0.0,easy
13,0.9193717837333679,0.8983736634254456,1.0,hard
14,1.1926854848861694,1.4487415552139282,0.0,hard
15,1.5126408338546753,1.0403690338134766,1.0,hard
16,0.9620797038078308,0.9367679953575134,1.0,hard
17,0.6485421657562256,0.7822834849357605,0.0,easy
18,0.6789218187332153,0.9449041485786438,0.0,easy
19,0.8397753834724426,1.0257067680358887,0.0,hard
20,0.8175612092018127,1.0929914712905884,0.0,medium
21,0.5599410533905029,0.5818063020706177,0.0,easy
22,0.5526572465896606,0.6561374664306641,0.0,easy
23,1.3306838274002075,0.8182220458984375,1.0,hard
24,0.6378899812698364,0.7137220501899719,0.0,easy
25,0.7629020810127258,0.7675426602363586,0.0,medium
26,0.5551145076751709,0.6112977266311646,0.0,easy
27,0.857315182685852,1.1342997550964355,0.0,hard
28,0.6011505722999573,0.6377140283584595,0.0,easy
29,0.7219558358192444,0.9566552042961121,0.0,medium
30,0.8047659993171692,0.9093865752220154,0.0,medium
31,0.8347345590591431,1.0793274641036987,0.0,medium
32,1.204511284828186,0.7319548726081848,1.0,hard
33,0.5846494436264038,0.7365961074829102,0.0,easy
34,0.7139504551887512,0.7829484939575195,0.0,medium
35,0.5468430519104004,0.6553305387496948,0.0,easy
36,0.7857149839401245,1.0067389011383057,0.0,medium
37,0.7771669626235962,0.8252734541893005,0.0,medium
38,0.6817011833190918,0.7109307050704956,0.0,easy
39,0.6939142346382141,0.84397953748703,0.0,easy
40,0.8835309147834778,0.9355363249778748,0.0,hard
41,0.6386739015579224,0.9152539372444153,0.0,easy
42,0.87156081199646,0.9848774671554565,0.0,hard
43,0.8589003086090088,0.8527689576148987,1.0,hard
44,0.9461371302604675,1.2938780784606934,0.0,hard
45,0.7802292108535767,0.6623347401618958,1.0,medium
46,0.7326450943946838,1.032886028289795,0.0,medium
47,0.9254220724105835,0.8455764055252075,1.0,hard
48,0.8486528396606445,0.9164319038391113,0.0,hard
49,0.7809911966323853,1.1271778345108032,0.0,medium
